[2025-04-05 15:17:49,745: INFO: main: Welcome to our custom log]
[2025-04-06 13:34:34,862: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-06 13:34:34,887: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-06 13:34:34,904: INFO: common: created directory at: artifacts]
[2025-04-06 13:34:34,908: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-06 13:34:34,911: INFO: 1805952150: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-06 13:35:02,654: INFO: 1805952150: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-06 13:35:56,899: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-06 13:35:56,900: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-06 13:35:56,902: INFO: common: created directory at: artifacts]
[2025-04-06 13:35:56,905: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-06 13:35:56,908: INFO: 170364457: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-06 13:36:19,371: INFO: 170364457: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-06 13:51:43,994: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-06 13:51:43,996: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-06 13:51:43,996: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-06 13:51:43,998: INFO: common: created directory at: artifacts]
[2025-04-06 13:51:43,998: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-06 13:51:43,999: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-06 13:52:04,691: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-06 13:52:05,387: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
